"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sptssa",0.00550583054764679,0.125160706872831,0.859,0.838,1,"EPO_responsive","Sptssa"
"Cdc7",0.00557948147100339,0.13101287414246,0.167,0.126,1,"EPO_responsive","Cdc7"
"Usp50",0.00559761122445112,0.13977177233343,0.682,0.647,1,"EPO_responsive","Usp50"
"Nudt1",0.00586455458926219,0.14306938386033,0.275,0.231,1,"EPO_responsive","Nudt1"
"Pdzd8",0.00588476353424863,0.132627043026252,0.295,0.232,1,"EPO_responsive","Pdzd8"
"Uqcc2",0.00613382794200342,0.149902965629442,0.761,0.715,1,"EPO_responsive","Uqcc2"
"Pmf1",0.00614068526030464,0.183306478091009,0.403,0.367,1,"EPO_responsive","Pmf1"
"Cox7b",0.00619539008662414,0.126975196830403,0.852,0.819,1,"EPO_responsive","Cox7b"
"Fam133b",0.00655551474085222,0.160239477247124,0.61,0.57,1,"EPO_responsive","Fam133b"
"Gtf2e2",0.00657214081721868,0.136807782921095,0.37,0.308,1,"EPO_responsive","Gtf2e2"
"Zbtb44",0.00699269511566776,0.123083958281497,0.223,0.165,1,"EPO_responsive","Zbtb44"
"Nutf2",0.00701795340766698,0.143583916865608,0.531,0.484,1,"EPO_responsive","Nutf2"
"Rfc2",0.00721666897780391,0.11236274322985,0.839,0.807,1,"EPO_responsive","Rfc2"
"Dynll1",0.0072704343391617,0.140048737825605,0.852,0.814,1,"EPO_responsive","Dynll1"
"Rsl24d1",0.00729948222332357,0.155326540957822,0.652,0.617,1,"EPO_responsive","Rsl24d1"
"Lockd",0.00730469386457938,0.152456733154628,0.548,0.473,1,"EPO_responsive","Lockd"
"Mrpl33",0.00742066828276007,0.119964783512114,0.859,0.819,1,"EPO_responsive","Mrpl33"
"Fopnl",0.00744775405119205,0.122379227521001,0.354,0.287,1,"EPO_responsive","Fopnl"
"Mrps17",0.00758755858880612,0.125464380939099,0.689,0.638,1,"EPO_responsive","Mrps17"
"Snrpd2",0.00759535195145738,0.123976426855359,0.895,0.872,1,"EPO_responsive","Snrpd2"
"Tmem14c",0.00761825401753309,0.150519864683226,0.639,0.592,1,"EPO_responsive","Tmem14c"
"Thoc7",0.00763211886515675,0.154655919130795,0.77,0.748,1,"EPO_responsive","Thoc7"
"Ndufs3",0.00765175749642427,0.142111277186625,0.561,0.51,1,"EPO_responsive","Ndufs3"
"Mrpl50",0.00783560625763389,0.144083924870583,0.403,0.35,1,"EPO_responsive","Mrpl50"
"Pole3",0.00784425300159144,0.134070721874379,0.505,0.458,1,"EPO_responsive","Pole3"
"Prim1",0.00793436997808213,0.141809581206285,0.42,0.366,1,"EPO_responsive","Prim1"
"Itpripl1",0.00823378541309245,0.119638730749847,0.18,0.132,1,"EPO_responsive","Itpripl1"
"Mms22l",0.00834738649804388,0.127422884273994,0.341,0.287,1,"EPO_responsive","Mms22l"
"Pop5",0.00851447705885041,0.149285782529899,0.544,0.502,1,"EPO_responsive","Pop5"
"Immp1l",0.00909489207035525,0.169977508476704,0.607,0.581,1,"EPO_responsive","Immp1l"
"Psmc3ip",0.00911501491471308,0.130133836465007,0.295,0.242,1,"EPO_responsive","Psmc3ip"
"Hn1",0.0091170399004567,0.136209759818435,0.721,0.675,1,"EPO_responsive","Hn1"
"Ino80e",0.0092085292231736,0.14102629519409,0.452,0.395,1,"EPO_responsive","Ino80e"
"Pole4",0.00936490431574479,0.132833956541087,0.705,0.658,1,"EPO_responsive","Pole4"
"Nme4",0.00941791078860101,0.156420547285169,0.495,0.448,1,"EPO_responsive","Nme4"
"Bola2",0.00965868255908608,0.13731445265769,0.78,0.736,1,"EPO_responsive","Bola2"
"Ppwd1",0.00967840332041181,0.146280991464813,0.233,0.196,1,"EPO_responsive","Ppwd1"
"Neil3",0.00974228713525554,0.142675183768984,0.292,0.234,1,"EPO_responsive","Neil3"
